,file,isin,type,state,allocate
0,XPAR_SHARES_F2_20231031.csv.zip,FR0000073272,LOB,Processed,
1,XPAR_SHARES_F2_20231031.csv.zip,FR0000120271,LOB,Processed,
2,XPAR_SHARES_F2_20231031.csv.zip,FR0000120321,LOB,Processed,
3,XPAR_SHARES_F2_20231031.csv.zip,FR0000120578,LOB,Processed,
4,XPAR_SHARES_F2_20231031.csv.zip,FR0000120693,LOB,Processed,
5,XPAR_SHARES_F2_20231031.csv.zip,FR0000121329,LOB,Processed,
6,XPAR_SHARES_F2_20231031.csv.zip,FR0000121485,LOB,Processed,
7,XPAR_SHARES_F2_20231031.csv.zip,FR0000121972,LOB,Processed,
8,XPAR_SHARES_F2_20231031.csv.zip,FR0000124141,LOB,Processed,
9,XPAR_SHARES_F2_20231031.csv.zip,FR0000125007,LOB,Processed,
10,XPAR_SHARES_F2_20231031.csv.zip,FR0000125486,LOB,Processed,
11,XPAR_SHARES_F2_20231031.csv.zip,FR0000130577,LOB,Processed,
12,XPAR_SHARES_F2_20231031.csv.zip,FR0000130809,LOB,Processed,
13,XPAR_SHARES_F2_20231031.csv.zip,FR0000131906,LOB,Processed,
14,XPAR_SHARES_F2_20231031.csv.zip,FR0010908533,LOB,Processed,
15,XPAR_SHARES_F2_20231031.csv.zip,FR0011981968,LOB,Processed,
16,XPAR_SHARES_F2_20231031.csv.zip,FR0014003TT8,LOB,Processed,
17,XPAR_SHARES_F2_20231031.csv.zip,NL0000226223,LOB,Processed,
18,XPAR_SHARES_F2_20231031.csv.zip,NL00150001Q9,LOB,Processed,
19,XPAR_SHARES_F2_20231031.csv.zip,FR0000073272,FO,Processed,
20,XPAR_SHARES_F2_20231031.csv.zip,FR0000120271,FO,Processed,
21,XPAR_SHARES_F2_20231031.csv.zip,FR0000120321,FO,Processed,
22,XPAR_SHARES_F2_20231031.csv.zip,FR0000120578,FO,Processed,
23,XPAR_SHARES_F2_20231031.csv.zip,FR0000120693,FO,Processed,
24,XPAR_SHARES_F2_20231031.csv.zip,FR0000121329,FO,Processed,
25,XPAR_SHARES_F2_20231031.csv.zip,FR0000121485,FO,Processed,
26,XPAR_SHARES_F2_20231031.csv.zip,FR0000121972,FO,Processed,
27,XPAR_SHARES_F2_20231031.csv.zip,FR0000124141,FO,Processed,
28,XPAR_SHARES_F2_20231031.csv.zip,FR0000125007,FO,Processed,
29,XPAR_SHARES_F2_20231031.csv.zip,FR0000125486,FO,Processed,
30,XPAR_SHARES_F2_20231031.csv.zip,FR0000130577,FO,Processed,
31,XPAR_SHARES_F2_20231031.csv.zip,FR0000130809,FO,Processed,
32,XPAR_SHARES_F2_20231031.csv.zip,FR0000131906,FO,Processed,
33,XPAR_SHARES_F2_20231031.csv.zip,FR0010908533,FO,Processed,
34,XPAR_SHARES_F2_20231031.csv.zip,FR0011981968,FO,Processed,
35,XPAR_SHARES_F2_20231031.csv.zip,FR0014003TT8,FO,Processed,
36,XPAR_SHARES_F2_20231031.csv.zip,NL0000226223,FO,Processed,
37,XPAR_SHARES_F2_20231031.csv.zip,NL00150001Q9,FO,Processed,
38,XPAR_SHARES_F2_20231030.csv.zip,FR0000073272,LOB,Processed,
39,XPAR_SHARES_F2_20231030.csv.zip,FR0000120271,LOB,Processed,
