"New_Client_Id_Client";"sending_date_group";"is_opened_retreated";"is_clicked";"mailing_id";"email_id";"min_sending_date";"email_count"
6;2019-10-17;FALSE;FALSE;"12;13";"1422411";2019-10-17;2
8;2022-09-14;TRUE;FALSE;"3278";"1979250";2022-09-14;1
12;2021-09-27;FALSE;FALSE;"2173";"1984953";2021-09-27;1
14;2022-07-09;TRUE;FALSE;"3151";"1187642";2022-07-09;1
17;2019-07-06;TRUE;FALSE;"12;13";"1390460";2019-07-06;2
17;2021-04-30;FALSE;FALSE;"39";"1390460";2021-04-30;1
17;2021-05-05;FALSE;FALSE;"40";"1390460";2021-05-05;1
19;2020-10-22;FALSE;FALSE;"12;13";"1772898";2020-10-22;2
23;2019-05-30;TRUE;FALSE;"37;38";"24843";2019-05-30;2
23;2020-07-09;TRUE;FALSE;"37;38";"24843";2020-07-09;2
23;2020-12-05;TRUE;FALSE;"37;38";"24843";2020-12-05;2
23;2021-05-22;TRUE;FALSE;"37;38";"24843";2021-05-22;2
23;2022-09-04;FALSE;FALSE;"3328";"24843";2022-09-04;1
23;2023-01-31;FALSE;FALSE;"3389";"24843";2023-01-31;1
23;2023-07-06;FALSE;FALSE;"3980";"24843";2023-07-06;1
26;2019-06-03;TRUE;FALSE;"12;13";"1379849";2019-06-03;2
27;2018-09-08;FALSE;FALSE;"12;13";"1290541";2018-09-08;2
30;2019-01-15;TRUE;FALSE;"37;38";"237918";2019-01-15;2
31;2019-09-30;FALSE;FALSE;"12;13";"1417520";2019-09-30;2
35;2020-01-24;FALSE;FALSE;"39;40";"1093405";2020-01-24;2
35;2020-02-19;FALSE;FALSE;"39;40";"1093405";2020-02-19;2
36;2019-07-02;FALSE;FALSE;"12;13";"1388728";2019-07-02;2
38;2021-11-13;FALSE;FALSE;"2173";"2028494";2021-11-13;1
42;2018-11-25;TRUE;FALSE;"37";"900127";2018-11-25;1
42;2018-11-30;FALSE;FALSE;"38";"900127";2018-11-30;1
42;2019-12-24;TRUE;FALSE;"37;38";"900127";2019-12-24;2
42;2022-12-01;FALSE;FALSE;"3389";"900127";2022-12-01;1
43;2022-08-30;TRUE;FALSE;"3275";"2170104";2022-08-30;1
45;2018-09-12;TRUE;TRUE;"39";"308853";2018-09-12;1
45;2018-10-19;TRUE;TRUE;"39;40";"308853";2018-10-19;2
45;2018-10-24;TRUE;TRUE;"37";"308853";2018-10-24;1
45;2018-11-14;TRUE;TRUE;"39;40";"308853";2018-11-14;2
45;2019-01-23;TRUE;TRUE;"39";"308853";2019-01-23;1
45;2019-02-18;TRUE;TRUE;"39";"308853";2019-02-18;1
45;2019-05-03;FALSE;FALSE;"39;40";"308853";2019-05-03;2
45;2019-06-07;FALSE;FALSE;"39;40";"308853";2019-06-07;2
45;2019-07-10;TRUE;TRUE;"39;40";"308853";2019-07-10;2
45;2019-11-27;TRUE;FALSE;"39";"308853";2019-11-27;1
45;2019-12-10;TRUE;FALSE;"40";"308853";2019-12-10;1
45;2019-12-23;TRUE;FALSE;"39";"308853";2019-12-23;1
45;2020-01-05;FALSE;FALSE;"40";"308853";2020-01-05;1
45;2020-01-18;TRUE;FALSE;"39";"308853";2020-01-18;1
45;2020-01-31;FALSE;FALSE;"40";"308853";2020-01-31;1
