,New_Client_Id_Client,PURCHASE_DATE,sending_date_group,rel_date_group,answer_date
7786,6.0,2019-10-11,2019-10-17,,
7787,8.0,2022-08-29,2022-09-14,,
7788,12.0,2021-09-10,2021-09-27,,
7789,14.0,2022-07-01,2022-07-09,,
7790,17.0,2019-07-05,2019-07-06,,
0,17.0,2021-04-20,2021-04-30,2021-05-05,
7791,19.0,2020-10-20,2020-10-22,,
7792,23.0,2019-05-29,2019-05-30,,
7793,23.0,2020-07-07,2020-07-09,,
7794,23.0,2020-12-04,2020-12-05,,
7795,23.0,2021-05-21,2021-05-22,,
7796,23.0,2022-08-29,2022-09-04,,
7797,23.0,2022-08-30,2022-09-04,,
7798,23.0,2023-01-25,2023-01-31,,
7799,23.0,2023-06-30,2023-07-06,,
7800,26.0,2019-06-01,2019-06-03,,
7801,27.0,2018-09-04,2018-09-08,,
7802,30.0,2019-01-13,2019-01-15,,
7803,31.0,2019-09-28,2019-09-30,,
7804,35.0,2020-01-14,2020-01-24,,
7805,36.0,2019-06-30,2019-07-02,,
7806,38.0,2021-10-29,2021-11-13,,
7809,42.0,2018-11-24,2018-11-25,,
7807,42.0,2019-12-14,2019-12-24,,
7808,42.0,2022-11-25,2022-12-01,,
7810,43.0,2022-08-27,2022-08-30,,
7811,45.0,2018-10-09,2018-10-24,,2018-10-24
7812,45.0,2018-10-27,2018-11-14,,2018-11-17
7813,45.0,2018-12-25,2019-01-23,,2019-01-23
7814,45.0,2018-12-30,2019-01-23,,2019-01-23
7815,45.0,2019-01-08,2019-01-23,,2019-01-23
7816,45.0,2019-01-13,2019-01-23,,2019-01-23
7817,45.0,2019-04-21,2019-05-03,,
7818,45.0,2019-05-28,2019-06-07,,
7819,45.0,2019-06-29,2019-07-10,,
7820,45.0,2019-11-09,2019-11-27,,
7821,45.0,2019-11-13,2019-12-10,,
7822,45.0,2020-01-19,2020-01-31,,
7823,45.0,2020-01-25,2020-02-13,,
7824,45.0,2020-05-13,2020-05-23,,
7825,45.0,2020-08-11,2020-08-29,,
7826,45.0,2020-08-19,2020-08-29,,
7827,45.0,2021-01-28,2021-02-07,,
7828,45.0,2021-03-18,2021-03-28,,
7843,45.0,2021-07-31,2021-08-11,,
7829,45.0,2021-09-11,2021-09-22,,
7830,45.0,2022-03-24,2022-03-30,,
7831,45.0,2022-06-16,2022-06-24,,
7832,45.0,2022-09-09,2022-09-15,,
7833,45.0,2022-10-10,2022-10-17,,
7834,45.0,2022-11-10,2022-11-19,,
7835,45.0,2022-11-25,2022-12-21,,
7836,45.0,2022-12-06,2022-12-21,,
7837,45.0,2023-01-12,2023-01-22,,
7838,45.0,2023-02-17,2023-02-23,,
7839,45.0,2023-02-20,2023-02-23,,
7840,45.0,2023-02-22,2023-02-23,,
7841,45.0,2023-05-11,2023-05-17,,
7842,45.0,2023-05-15,2023-05-17,,
7844,46.0,2021-10-11,2021-10-12,,
7845,49.0,2019-12-14,2019-12-24,,
7846,50.0,2019-12-28,2019-12-29,,
7847,52.0,2020-07-21,2020-07-23,,2020-07-23
7848,53.0,2018-12-13,2018-12-16,,
7849,53.0,2019-01-21,2019-01-22,,
7850,53.0,2019-05-29,2019-05-30,,
7851,53.0,2020-07-12,2020-07-13,,
7852,53.0,2022-06-28,2022-07-04,,
7853,59.0,2020-05-21,2020-05-31,,
7854,59.0,2020-07-22,2020-08-09,,
7855,59.0,2020-07-30,2020-08-09,,
7856,59.0,2022-06-16,2022-06-22,,
7857,59.0,2022-06-21,2022-06-22,,
7858,59.0,2022-10-03,2022-10-09,,
7859,59.0,2023-05-12,2023-05-18,,
7860,60.0,2019-12-31,2020-01-01,,2020-01-01
7861,61.0,2018-10-14,2018-10-15,,
7862,61.0,2018-12-16,2018-12-17,,
7863,61.0,2019-02-02,2019-02-12,,2019-02-12
7864,61.0,2020-02-01,2020-02-06,,2020-02-07
7865,61.0,2020-06-27,2020-06-28,,
7866,61.0,2020-08-08,2020-08-09,,2020-08-10
7867,61.0,2021-12-05,2021-12-13,,2021-12-13
7868,61.0,2022-04-30,2022-05-06,,
7869,61.0,2022-12-24,2022-12-30,,
7870,61.0,2023-07-09,2023-07-15,,
7871,63.0,2019-12-12,2019-12-22,,
7872,65.0,2018-11-13,2018-11-16,,2018-11-16
7873,65.0,2020-01-31,2020-02-10,,
7874,65.0,2020-09-12,2020-09-13,,
7875,65.0,2022-05-14,2022-05-20,,
7876,65.0,2022-09-09,2022-09-15,,
7877,65.0,2023-01-12,2023-01-18,,
7878,66.0,2019-01-12,2019-01-15,,2019-01-18
7879,66.0,2019-03-29,2019-03-30,,2019-03-30
7880,66.0,2019-06-28,2019-07-01,,
7881,66.0,2019-08-03,2019-08-04,,2019-08-07
7882,69.0,2022-12-23,2022-12-29,,
7883,71.0,2018-11-17,2018-11-21,,
7884,71.0,2020-06-16,2020-06-17,,
7885,71.0,2020-07-15,2020-07-19,,
7886,71.0,2021-12-17,2021-12-24,,
7887,73.0,2019-06-01,2019-06-03,,
7888,75.0,2019-12-28,2019-12-29,,2020-01-02
7889,76.0,2019-02-09,2019-02-27,,
7890,76.0,2019-02-17,2019-02-27,,
7891,76.0,2021-01-23,2021-02-04,,
7892,76.0,2021-01-25,2021-02-04,,
7893,76.0,2021-03-15,2021-03-21,,
7894,76.0,2021-03-20,2021-03-21,,
7895,76.0,2021-09-21,2021-10-01,,
7896,76.0,2022-05-03,2022-05-09,,
7897,76.0,2022-05-06,2022-05-09,,
7898,76.0,2022-11-24,2022-11-30,,
7899,76.0,2023-02-04,2023-02-10,,
7900,77.0,2018-11-29,2018-11-30,,
7901,77.0,2019-07-08,2019-07-10,,
7902,77.0,2020-10-06,2020-10-07,,
7903,77.0,2020-12-16,2020-12-17,,
7904,77.0,2022-09-20,2022-09-26,,
7905,78.0,2018-10-06,2018-10-07,,
7906,78.0,2019-08-09,2019-08-16,,2019-08-16
7907,79.0,2022-09-13,2022-09-19,,
7908,81.0,2022-10-03,2022-10-09,,
7909,85.0,2020-07-02,2020-07-03,,
7910,88.0,2021-03-15,2021-03-16,,
7911,93.0,2019-03-28,2019-03-30,,
7912,93.0,2019-05-04,2019-05-07,,
7913,99.0,2022-07-11,2022-07-12,,
7914,102.0,2019-05-07,2019-05-08,,2019-05-08
7915,102.0,2020-05-23,2020-06-02,,
7916,102.0,2020-05-30,2020-06-02,,
7917,102.0,2023-06-28,2023-07-14,,
7918,103.0,2020-07-01,2020-07-03,,
7919,103.0,2021-02-05,2021-02-09,,
7920,103.0,2022-04-08,2022-04-14,,
7921,104.0,2020-03-12,2020-03-14,,
7922,107.0,2019-04-02,2019-04-03,,2019-04-06
7923,110.0,2021-11-30,2021-12-16,,
7924,118.0,2020-07-28,2020-07-29,,
7925,122.0,2020-08-09,2020-08-10,,
7926,123.0,2022-02-10,2022-02-16,,
7927,123.0,2023-02-08,2023-02-14,,
7928,126.0,2018-12-26,2019-01-03,,
1,127.0,2019-09-10,2019-09-18,2019-09-23,
7929,128.0,2019-12-19,2020-01-14,,
7930,128.0,2020-01-02,2020-01-14,,
7931,129.0,2022-07-28,2022-07-29,,
7932,131.0,2019-04-20,2019-04-21,,
7933,131.0,2019-08-17,2019-08-21,,
7934,131.0,2020-02-03,2020-02-07,,
7935,131.0,2020-07-17,2020-07-25,,
2,131.0,2021-12-04,2021-12-08,2021-12-13,
7936,131.0,2022-01-18,2022-01-24,,
7937,131.0,2022-07-22,2022-07-29,,
7938,131.0,2022-10-18,2022-10-24,,
7939,131.0,2023-05-27,2023-06-02,,
7940,131.0,2023-05-31,2023-06-02,,
7941,131.0,2023-06-14,2023-07-04,,
7942,131.0,2023-06-28,2023-07-04,,
7943,131.0,2023-07-21,2023-08-05,,
7944,140.0,2021-08-31,2021-09-06,,
7945,144.0,2020-06-12,2020-06-26,,
7946,144.0,2020-06-25,2020-06-26,,
7947,144.0,2020-12-11,2020-12-12,,
7948,144.0,2022-06-14,2022-06-20,,
7949,144.0,2023-06-14,2023-06-20,,
7950,145.0,2020-07-31,2020-08-10,,
7951,149.0,2020-01-28,2020-02-06,,2020-02-10
7952,149.0,2020-01-31,2020-02-06,,2020-02-10
7953,157.0,2019-10-31,2019-11-27,,
7954,157.0,2019-12-06,2019-12-10,,
7955,158.0,2019-05-28,2019-05-29,,
7956,159.0,2019-03-24,2019-04-04,,
7957,159.0,2019-06-21,2019-07-10,,
7958,161.0,2019-12-16,2019-12-26,,2019-12-27
7959,171.0,2018-12-21,2019-01-04,,
7960,173.0,2018-10-23,2018-10-25,,
7961,173.0,2019-01-21,2019-01-22,,
7962,174.0,2022-03-07,2022-03-24,,
7963,175.0,2020-01-21,2020-01-22,,
7964,178.0,2020-02-01,2020-02-06,,
7965,181.0,2019-07-30,2019-07-31,,
7966,184.0,2021-04-19,2021-04-29,,
7967,192.0,2020-04-04,2020-04-14,,
7968,192.0,2023-05-02,2023-05-08,,
7969,193.0,2020-01-28,2020-02-07,,2020-02-11
7970,195.0,2020-03-27,2020-04-06,,
7971,200.0,2018-11-24,2018-12-15,,
7972,200.0,2020-02-03,2020-02-06,,
7973,202.0,2018-10-09,2018-10-10,,
7974,203.0,2019-01-05,2019-01-16,,
7975,204.0,2020-02-01,2020-02-13,,
7976,204.0,2020-02-02,2020-02-13,,
